184.105.247.194 - - [14/Aug/2018:00:09:57 +0000] "GET / HTTP/1.1" 200 11250
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15901
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/element/element-min.js HTTP/1.1" 200 2698
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/button/button-min.js HTTP/1.1" 200 8305
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/yui/storage/storage-min.js HTTP/1.1" 200 4048
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/hudson-behavior.js HTTP/1.1" 200 28889
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/sortable.js HTTP/1.1" 200 4284
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/jsbundles/page-init.js HTTP/1.1" 200 9291
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /gitbucket/ HTTP/1.1" 200 8125
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/jsbundles/pluginSetupWizard.js HTTP/1.1" 200 69563
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/bootstrap-3.3.7/css/bootstrap.min.css?20180813180451 HTTP/1.1" 200 121200
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/google-fonts/css/source-sans-pro.css?20180813180451 HTTP/1.1" 200 2710
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/octicons-4.4.0/octicons.min.css?20180813180451 HTTP/1.1" 200 7912
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/bootstrap-datetimepicker-4.17.44/css/bootstrap-datetimepicker.min.css?20180813180451 HTTP/1.1" 200 7771
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/colorpicker/css/bootstrap-colorpicker.min.css?20180813180451 HTTP/1.1" 200 13084
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/facebox/facebox.css?20180813180451 HTTP/1.1" 200 1312
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/google-code-prettify/prettify.css?20180813180451 HTTP/1.1" 200 675
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/AdminLTE-2.4.2/css/AdminLTE.min.css?20180813180451 HTTP/1.1" 200 106344
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/AdminLTE-2.4.2/css/skins/skin-blue.min.css?20180813180451 HTTP/1.1" 200 3156
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/font-awesome-4.7.0/css/font-awesome.min.css?20180813180451 HTTP/1.1" 200 31000
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/jquery-ui/jquery-ui.min.css?20180813180451 HTTP/1.1" 200 15132
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/jquery-ui/jquery-ui.structure.min.css?20180813180451 HTTP/1.1" 200 190
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/jquery-ui/jquery-ui.theme.min.css?20180813180451 HTTP/1.1" 200 13847
157.44.148.224 - - [14/Aug/2018:03:44:57 +0000] "GET /gitbucket/assets/common/css/gitbucket.css?20180813180451 HTTP/1.1" 200 35102
157.44.148.224 - - [14/Aug/2018:03:44:57 +0000] "GET /jenkins/static/2e481869/assets/bootstrap/jsmodules/bootstrap3/style.css HTTP/1.1" 200 22416
157.44.148.224 - - [14/Aug/2018:03:44:58 +0000] "GET /jenkins/static/2e481869/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 6636
157.44.148.224 - - [14/Aug/2018:03:44:58 +0000] "GET /jenkins/static/2e481869/css/icomoon/css/icomoon.css HTTP/1.1" 200 1415
157.44.148.224 - - [14/Aug/2018:03:44:58 +0000] "GET /jenkins/static/2e481869/css/google-fonts/roboto/css/roboto.css HTTP/1.1" 200 515
157.44.148.224 - - [14/Aug/2018:03:44:59 +0000] "GET /gitbucket/assets/vendors/jquery/jquery-3.2.1.min.js?20180813180451 HTTP/1.1" 200 86659
157.44.148.224 - - [14/Aug/2018:03:44:59 +0000] "GET /gitbucket/assets/vendors/jquery-ui/jquery-ui.min.js?20180813180451 HTTP/1.1" 200 36668
157.44.148.224 - - [14/Aug/2018:03:44:59 +0000] "GET /gitbucket/assets/vendors/dropzone/dropzone.min.js?20180813180451 HTTP/1.1" 200 42790
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/common/js/gitbucket.js?20180813180451 HTTP/1.1" 200 25122
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/common/js/validation.js?20180813180451 HTTP/1.1" 200 1003
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/vendors/bootstrap-3.3.7/js/bootstrap.min.js?20180813180451 HTTP/1.1" 200 37045
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/vendors/bootstrap3-typeahead/bootstrap3-typeahead.min.js?20180813180451 HTTP/1.1" 200 10237
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/vendors/bootstrap-datetimepicker-4.17.44/js/moment.min.js?20180813180451 HTTP/1.1" 200 61317
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/vendors/bootstrap-datetimepicker-4.17.44/js/bootstrap-datetimepicker.min.js?20180813180451 HTTP/1.1" 200 38516
157.44.148.224 - - [14/Aug/2018:03:45:00 +0000] "GET /gitbucket/assets/vendors/colorpicker/js/bootstrap-colorpicker.min.js?20180813180451 HTTP/1.1" 200 20704
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/google-code-prettify/prettify.js?20180813180451 HTTP/1.1" 200 14566
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/elastic/jquery.elastic.source.js?20180813180451 HTTP/1.1" 200 4959
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/facebox/facebox.js?20180813180451 HTTP/1.1" 200 9281
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/jquery-hotkeys/jquery.hotkeys.js?20180813180451 HTTP/1.1" 200 5017
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/jquery-textcomplete-1.8.4/jquery.textcomplete.min.js?20180813180451 HTTP/1.1" 200 20412
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /jenkins/static/2e481869/assets/bootstrap/jsmodules/bootstrap3.js HTTP/1.1" 200 18747
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/vendors/AdminLTE-2.4.2/js/adminlte.min.js?20180813180451 HTTP/1.1" 200 14422
